DE000A0H08F7,Sika AG,8.61%
DE000A0H08F7,Holcim Ltd.,7.95%
DE000A0H08F7,ASSA ABLOY AB,6.08%
DE000A0H08F7,Heidelberg Materials AG,5.93%
DE000A0H08F7,Amrize,5.34%
DE000A0H08F7,Geberit AG,5.27%
DE000A0H08F7,Ferrovial SE,5.16%
DE000A0H08F7,Kingspan Group Plc,2.65%
DE000A0H08Q4,SAP SE,29.66%
DE000A0H08Q4,ASML Holding NV,15.02%
DE000A0H08Q4,RELX,11.06%
DE000A0H08Q4,Prosus NV,7.76%
DE000A0H08Q4,Infineon Technologies AG,6.03%
DE000A0H08Q4,Amadeus IT Group SA,4.12%
DE000A0H08Q4,ASM International NV,3.24%
DE000A0H08Q4,Capgemini SE,3.18%
DE000A0H08Q4,Dassault Systèmes SE,2.85%
DE000A0H08Q4,Hexagon AB,2.31%
IE00BKWQ0K51,SAP SE,33.45%
IE00BKWQ0K51,ASML Holding NV,18.39%
IE00BKWQ0K51,Infineon Technologies AG,8.85%
IE00BKWQ0K51,ASM International NV,4.78%
IE00BKWQ0K51,Capgemini SE,4.43%
IE00BKWQ0K51,Nokia Oyj,4.40%
IE00BKWQ0K51,Dassault Systèmes SE,3.87%
IE00BKWQ0K51,LM Ericsson,3.77%
IE00BKWQ0K51,Hexagon AB,3.31%
IE00BKWQ0K51,STMicroelectronics NV,3.30%
IE00BKWQ0N82,Deutsche Telekom AG,24.22%
IE00BKWQ0N82,Spotify Technology SA,18.69%
IE00BKWQ0N82,Universal Music Group NV,6.77%
IE00BKWQ0N82,Orange SA,5.39%
IE00BKWQ0N82,Publicis Groupe SA,4.91%
IE00BKWQ0N82,Vodafone Group Plc,4.06%
IE00BKWQ0N82,Telefónica SA,3.68%
IE00BKWQ0N82,Cellnex Telecom SA,3.65%
IE00BKWQ0N82,Royal KPN NV,3.60%
IE00BKWQ0N82,Swisscom,3.49%
