ISIN,0,1,logo_url
LU0292100806,Symrise AG,2.84%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Symrise_wordmark_logo.svg/330px-Symrise_wordmark_logo.svg.png
IE00BKWQ0F09,Shell Plc,33.98%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OJ_C_165_of_2015_-_ET_Estonian.pdf/page1-150px-OJ_C_165_of_2015_-_ET_Estonian.pdf.jpg
IE00BKWQ0F09,BP Plc,18.49%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/OJ_C_61_of_2014_-_HU_Hungarian.pdf/page1-150px-OJ_C_61_of_2014_-_HU_Hungarian.pdf.jpg
IE00BKWQ0F09,TotalEnergies SE,18.47%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Total_wordmark_%282003-2021%29.svg/400px-Total_wordmark_%282003-2021%29.svg.png
IE00BKWQ0F09,Eni SpA,9.35%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Eni_wordmark.svg/180px-Eni_wordmark.svg.png
IE00BKWQ0F09,Equinor ASA,5.55%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Equinor.svg/120px-Equinor.svg.png
IE00BKWQ0F09,Repsol SA,4.44%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/OJ_C_238_of_2015_-_SK_Slovak.pdf/page1-150px-OJ_C_238_of_2015_-_SK_Slovak.pdf.jpg
IE00BKWQ0F09,Aker BP ASA,2.12%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/AkerBP.svg/500px-AkerBP.svg.png
IE00BKWQ0F09,OMV AG,2.10%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Omv_logo.svg/250px-Omv_logo.svg.png
IE00BKWQ0F09,Tenaris SA,2.01%,https://upload.wikimedia.org/wikipedia/commons/3/31/Logo_Tenaris_Siderca.jpg
IE00BKWQ0F09,Galp Energia SGPS,2.00%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Galp_logo_2021.svg/250px-Galp_logo_2021.svg.png
DE000A0H08M3,Shell Plc,29.20%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OJ_C_165_of_2015_-_ET_Estonian.pdf/page1-150px-OJ_C_165_of_2015_-_ET_Estonian.pdf.jpg
DE000A0H08M3,TotalEnergies SE,14.31%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Total_wordmark_%282003-2021%29.svg/400px-Total_wordmark_%282003-2021%29.svg.png
